Key,English,Español
encuesta.title,FINAL SURVEY,ENCUESTA FINAL
encuesta.preg1,The experience of navigating a metaverse improved the relationship with students in the classroom,La experiencia de navegar en un metaverso mejoro la relación con los estudiantes dentro del aula 
encuesta.preg2,You would like to receive more classes within Metadec in addition to mirror classrooms,Le gustaría recibir mas clases dentro de Metadec adicional a Aulas Espejo
encuesta.preg3,Creating an Avatar of yourself and using it within Metadec allowed for better Virtual communication.,"Crear un Avatar de si mismo y usarlo dentro de Metadec permitió una mejor comunicación Virtual "
encuesta.preg4,Digital resources within the virtual space complemented the synchronous session,"Los recursos Digitales dentro del espacio virtual complementaron la sesion sincronica"
encuesta.preg5,How would you rate your general experience within Metadec?,Como califica la experiencia en general dentro de Metadec 
encuesta.siguiente,NEXT,SIGUIENTE
encuesta.terminar,FINISH,TERMINAR
encuesta.mDesacuerdo,Strongly Disagree,Muy en Desacuerdo
encuesta.Desacuerdo,In disagreement,En Desacuerdo
encuesta.niAcuerniDesac,Neither agree nor disagree,Ni de acuerdo ni en desacuerdo
encuesta.acuerdo,Ok,De Acuerdo
encuesta.mAcuerdo,Strongly agree,Muy de acuerdo
encuesta.muyMalo,Very bad,Muy Malo
encuesta.malo,Bad,Malo
encuesta.niMalniBue,Neither bad nor good,Ni malo ni bueno
encuesta.bueno,Good,Bueno
encuesta.muyBueno,Very good,Muy Bueno
